part_key,model,name_en,vn_name,hs_code,origin,duty,vat,status,seen_count,first_seen,last_seen,source_file
%ELBS-C-TBSE1210-222-R,%ELBS-C-TBSE1210-222-R,,"Trục vít me, mã hàng:  %ELBS-C-TBSE1210-222-R, chất liệu thép, hàng mới 100%",84834090,CHINA,,,CONFIRMED,2,2025-12-19,2025-12-19,Invoice&packinglist_VN(251219).xlsx
001M2509-AC00-003,001M2509-AC00-003,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AC00-004,001M2509-AC00-004,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AC00-005,001M2509-AC00-005,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AC00-006,001M2509-AC00-006,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AC00-024,001M2509-AC00-024,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AD00-014,001M2509-AD00-014,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AE00-006,001M2509-AE00-006,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AE00-010,001M2509-AE00-010,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AF00-007,001M2509-AF00-007,,,76169990,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AF00-009,001M2509-AF00-009,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AF00-011,001M2509-AF00-011,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AF00-013,001M2509-AF00-013,,,76169990,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AF00-017,001M2509-AF00-017,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AF00-022,001M2509-AF00-022,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AG00-003,001M2509-AG00-003,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AG00-004,001M2509-AG00-004,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AG00-025,001M2509-AG00-025,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AG00-026,001M2509-AG00-026,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
001M2509-AG00-027,001M2509-AG00-027,,,73269099,KOREA,,,CONFIRMED,1,2025-12-23,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AA01-021,004M2509-AA01-021,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AC01-030,004M2509-AC01-030,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AC01-031,004M2509-AC01-031,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AC01-032,004M2509-AC01-032,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AC01-033,004M2509-AC01-033,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AD00-0010,004M2509-AD00-0010,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AD00-0011,004M2509-AD00-0011,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AD00-0012,004M2509-AD00-0012,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AD00-0013,004M2509-AD00-0013,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AE01-0024,004M2509-AE01-0024,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AE01-0025,004M2509-AE01-0025,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AE01-0026,004M2509-AE01-0026,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AE02-0027,004M2509-AE02-0027,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AE03-0018,004M2509-AE03-0018,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AE03-0019,004M2509-AE03-0019,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AI00-0020,004M2509-AI00-0020,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AI00-0022,004M2509-AI00-0022,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
004M2509-AI00-0023,004M2509-AI00-0023,,,73269099,KOREA,,,CONFIRMED,6,2025-12-15,2025-12-23,Invoice&packinglist_VN(251223).xlsx
006M2510-AB03-023,006M2510-AB03-023,,Ф12 * 86,73269099,KOREA,,,CONFIRMED,1,2026-04-01,2026-04-01,Invoice&packinglist_VN(260401).xlsx
006M2510-AB03-024,006M2510-AB03-024,,Ф8.5 * 7,73269099,KOREA,,,CONFIRMED,1,2026-04-01,2026-04-01,Invoice&packinglist_VN(260401).xlsx
006M2510-AB03-025,006M2510-AB03-025,,Ф22.04 * 19,73269099,KOREA,,,CONFIRMED,1,2026-04-01,2026-04-01,Invoice&packinglist_VN(260401).xlsx
006M2510-AB03-062,006M2510-AB03-062,,Ф7.5 * 31.5,73269099,KOREA,,,CONFIRMED,1,2026-04-01,2026-04-01,Invoice&packinglist_VN(260401).xlsx
006M2510-AB03-065-R3,006M2510-AB03-065-R3,,Ф7.5 * 29.8,73269099,KOREA,,,CONFIRMED,1,2026-04-01,2026-04-01,Invoice&packinglist_VN(260401).xlsx
10126-300PE,10126-300PE,CONNECTOR,"CONNECTOR#&Đầu nối cho dây dẫn & cáp, mã hàng: 10126-3000PE, điện áp 150V, 0.5A, hàng mới 100%",85369012,JAPAN,,,CONFIRMED,3,2026-04-20,2026-04-20,Invoice&packinglist_VN(260420).xlsx
10326-52A0-008,10326-52A0-008,CONNECTOR,"CONNECTOR#&Đầu nối cho dây dẫn & cáp, mã hàng: 10326-52A0-008, điện áp 150V, 0.5A, hàng mới 100%",85369012,JAPAN,,,CONFIRMED,3,2026-04-20,2026-04-20,Invoice&packinglist_VN(260420).xlsx
10472,10472,,"Bộ lọc nguồn chống nhiễu cho nguồn điện và cáp điều khiển, mã hàng: 10472(10A), hsx: MURR ELELTRONIK, hàng mới 100%",85299099,CZECHIA,,,CONFIRMED,5,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
10472(10A),10472(10A),,"Bộ lọc nguồn chống nhiễu cho nguồn điện và cáp điều khiển, mã hàng: 10472(10A), hsx: MURR ELELTRONIK, hàng mới 100$",85299099,CHINA,,,CONFIRMED,3,2026-04-02,2026-04-20,Invoice&packinglist_VN(260420).xlsx
120*120,120*120,,"Vỏ che ngoài của quạt tản nhiệt, mã hàng: MG-120, kích thước: 120*120(mm), chất liệu: thép, hsx: WOONYOUNG, hàng mới 100%",73269099,KOREA,,,CONFIRMED,11,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
15PIN,15PIN,CONNECTOR,"CONNECTOR#&Đầu nối, mã hàng: D-SUB 15PIN, loại 15 chân, dùng cho dòng điện dưới 16A, hàng mới 100%",85369012,KOREA,,,CONFIRMED,3,2026-04-20,2026-04-20,Invoice&packinglist_VN(260420).xlsx
2.5SQ/3C/3M,2.5SQ / 3C / 3M,,"Dây cáp điện có đầu nối, mã hàng: 2.5SQ / 3C / 3M, bọc cách điện bằng plastic, mỗi lõi đường kính không quá 5mm, điện áp không quá 1000V, hàng mới 100%",85444294,KOREA,,,CONFIRMED,5,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
2.5SQX3C/3M,2.5SQx3C / 3M,,"Dây cáp điện có đầu nối, mã hàng: 2.5SQx3C / 3M, bọc cách điện bằng plastic, mỗi lõi đường kính không quá 5mm, điện áp không quá 1000V, hàng mới 100%",85444294,KOREA,,,CONFIRMED,1,2026-04-02,2026-04-02,Invoice&packinglist_VN(260402).xlsx
221-2411,221-2411,,"Đầu nối dây điện 2 dây dạng thẳng 4.0mm2 32A, mã hàng: CONNECTOR BOX 221-2411, hsx: WAGO, hàng mới 100%",85369019,GERMANY,,,CONFIRMED,1,2026-04-02,2026-04-02,Invoice&packinglist_VN(260402).xlsx
3*3*102R,3*3*10 2R,,"Then cài, mã hàng: KEY 3*3*10 2R, chất liệu: thép, hsx: MISUMI, hàng mới 100%",73269099,KOREA,,,CONFIRMED,4,2025-12-12,2026-04-02,Invoice&packinglist_VN(260402).xlsx
4*4*101R,4*4*10 1R,,#N/A,73269099,KOREA,,,CONFIRMED,3,2026-04-20,2026-04-20,Invoice&packinglist_VN(260420).xlsx
4*4*102R,4*4*10 2R,,"Then cài, mã hàng: KEY 4*4*10 2R, chất liệu: thép, hsx: MISUMI, hàng mới 100%",73269099,KOREA,,,CONFIRMED,4,2025-12-12,2026-04-02,Invoice&packinglist_VN(260402).xlsx
4*4*152R,4*4*15 2R,,"Then cài, mã hàng: KEY 4*4*15 2R, chất liệu: thép, hsx: MISUMI, hàng mới 100%",73269099,KOREA,,,CONFIRMED,11,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
4*4*251R,4*4*25 1R,,#N/A,73269099,KOREA,,,CONFIRMED,3,2026-04-20,2026-04-20,Invoice&packinglist_VN(260420).xlsx
4*4*252R,4*4*25 2R,,"Then cài, mã hàng: KEY 4*4*25 2R, chất liệu: thép, hsx: MISUMI, hàng mới 100%",73269099,KOREA,,,CONFIRMED,4,2025-12-12,2026-04-02,Invoice&packinglist_VN(260402).xlsx
4*4*302R,4*4*30 2R,,#N/A,73269099,KOREA,,,CONFIRMED,3,2026-04-20,2026-04-20,Invoice&packinglist_VN(260420).xlsx
42PN-8,42PN-8,,#N/A,84834090,KOREA,,,CONFIRMED,1,2026-04-20,2026-04-20,Invoice&packinglist_VN(260420).xlsx
4SQ/3C/4M,4SQ / 3C / 4M,,"Dây cáp 4SQ / 3C / 4M, chưa có đầu nối bọc cách điện bằng nhựa, điện áp 60V, dài 4m, dùng cho máy kiểm tra tính năng điện thoại. Mới 100%",85444922,KOREA,,,CONFIRMED,6,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
5V/1A,5V / 1A,,"Bộ chuyển đổi nguồn điện ADAPTER 5V / 1A, hàng mới 100%",85044090,KOREA,,,CONFIRMED,9,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
6001ZZS,6001ZZS,BEARING,"BEARING#&Vòng bi, mã hàng: 6001ZZS, chất liệu: thép không gỉ, đường kính: 24 mm, hsx: Misumi, hàng mới 100%",84821000,KOREA,,,CONFIRMED,4,2025-12-12,2026-04-02,Invoice&packinglist_VN(260402).xlsx
688ZZ,688ZZ,,"Vòng bi, mã hàng: 688ZZ, chất liệu thép, đường kính ngoài 16 mm, hsx: Misumi, hàng mới 100%",84821000,CHINA,,,CONFIRMED,2,2025-12-09,2025-12-24,Invoice&packinglist_VN(251224).xlsx
A-MR-20-180,A-MR-20-180,,"Chân tăng chỉnh chiều cao máy, mã hàng: A-MR-20-180, chất liệu: thép, hsx: Misumi, hàng mới 100%",73269099,KOREA,,,CONFIRMED,5,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
A-MR-20-180-Φ78,A-MR-20-180-Φ78,,"Chân tăng chỉnh chiều cao máy, mã hàng: A-MR-20-180, chất liệu: thép, hsx: Misumi, hàng mới 100%",73269099,KOREA,,,CONFIRMED,5,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
A-MR-24-150,A-MR-24-150,,,73269099,KOREA,,,CONFIRMED,3,2026-03-12,2026-04-20,Invoice&packinglist_VN(260420).xlsx
A-MR20-180-78,A-MR20-180-78,LEVELLING  FOOT,"LEVELLING  FOOT#&Chân tăng chỉnh chiều cao máy, mã hàng:A-MR20-180-78, chất liệu: thép, hsx: Misumi, hàng mới 100%",73269099,KOREA,,,CONFIRMED,3,2026-04-02,2026-04-20,Invoice&packinglist_VN(260420).xlsx
A-MR24-150Φ98->A-MR-24-150,A-MR24-150 Φ98->A-MR-24-150,LEVELLING  FOOT,"LEVELLING  FOOT#&Chân tăng chỉnh chiều cao máy, mã hàng: A-MR24-150 PHI98, chất liệu: thép, hsx: AUTO CFT, hàng mới 100%",73269099,KOREA,,,CONFIRMED,1,2025-12-12,2025-12-12,Invoice&packinglist_VN(251212-1).xlsx
AC30A-03G-V-D,AC30A-03G-V-D,,"Bộ lọc khí nén và điều chỉnh áp suất, mã hàng: AC30A-03G-V-D, hsx: SMC, hàng mới 100%",84213990,JAPAN,,,CONFIRMED,1,2026-04-02,2026-04-02,Invoice&packinglist_VN(260402).xlsx
ACA3800-14UC,acA3800-14uc,,"Camera truyền hình, mã hàng: acA3800-14uc, độ phân giải: 3,840x2,748, tốc độ khung hình: 14fps, loại màu, hsx: ALT, hàng mới 100%",85258220,GERMANY,,,CONFIRMED,13,2025-11-30,2026-04-20,Invoice&packinglist_VN(260420).xlsx
ACA5472-17UC,acA5472-17uc,,"Camera truyền hình, mã hàng: acA5472-17uc, độ phân giải: 5472x3648 pixel, tốc độ khung hình: 17fps, loại màu, hsx: ALT, hàng mới 100%",85258220,GERMANY,,,CONFIRMED,23,2025-11-30,2026-04-20,Invoice&packinglist_VN(260420).xlsx
ACL2-W480280D-H95-T25-2CH-24V,ACL2-W480280D-H95-T25-2CH-24V,,"Đèn LED công nghiệp, mã hàng: ACL2-W480280D-H95-T25-2CH-24V, hsx: ALT, hàng mới 100%",94054990,JAPAN,,,CONFIRMED,13,2025-11-30,2026-04-20,Invoice&packinglist_VN(260420).xlsx
ACL2-W700500D-H135-T25-4CH-24V,ACL2-W700500D-H135-T25-4CH-24V,,"Đèn LED công nghiệp, mã hàng: ACL2-W700500D-H135-T25-4CH-24V, hsx: ALT, hàng mới 100%",94054990,JAPAN,,,CONFIRMED,13,2025-11-30,2026-04-20,Invoice&packinglist_VN(260420).xlsx
AF10_YJ,AF10_YJ,,"Gối đỡ trục vít me, mã hàng: AF10_YJ, chất liệu: thép, hsx: Misumi, hàng mới 100%",84833090,JAPAN,,,CONFIRMED,6,2025-12-09,2026-04-20,Invoice&packinglist_VN(260420).xlsx
AFB1224M,AFB1224M,COOLING FAN,"COOLING FAN#&Quạt tản nhiệt dùng cho tủ điện, mã hàng: AFB1224M, không có lưới, điện áp 24V, kích thước: 120x120x25.4mm, hàng mới 100%",84145949,TAIWAN,,,CONFIRMED,1,2026-03-12,2026-03-12,Invoice&packinglist_VN(260312) (2).xlsx
AFB1224M-F00/AFB1224M,AFB1224M-F00/AFB1224M,COOLING FAN-GC,"COOLING FAN-GC#&Quạt tản nhiệt dùng cho tủ điện, mã hàng: AFB1224M, không có lưới, điện áp 24V, kích thước: 120x120x25.4mm, hàng mới 100%",84145949,TAIWAN,,,CONFIRMED,3,2025-12-12,2026-04-02,Invoice&packinglist_VN(260402).xlsx
AFB1224SHE-R00,AFB1224SHE-R00,,"Quạt tản nhiệt dùng cho tủ điện, mã hàng: AFB1224SHE-R00, không có lưới, điện áp 24V, 0.75A, kích thước: 120x120x38mm, hàng mới 100%",84145949,TAIWAN,,,CONFIRMED,15,2025-12-09,2026-04-20,Invoice&packinglist_VN(260420).xlsx
AFV2-W135100-24V,AFV2-W135100-24V,,"Đèn LED dạng hộp đồng trục, mã hàng: AFV2-W135100-24V, hsx: ALT, hàng mới 100%",94054990,JAPAN,,,CONFIRMED,13,2025-11-30,2026-04-20,Invoice&packinglist_VN(260420).xlsx
AHTFW40-S5M150-10,AHTFW40-S5M150-10,,"Puly răng, mã hàng: AHTFW40-S5M150-10, chất liệu: hợp kim nhôm, hsx: Misumi, hàng mới 100%",84835000,JAPAN,,,CONFIRMED,3,2026-04-20,2026-04-20,Invoice&packinglist_VN(260420).xlsx
AIRBLOWERAF00-013,AIRBLOWER AF00-013,,,76169990,KOREA,,,CONFIRMED,1,2025-12-30,2025-12-30,Invoice&packinglist_VN(251230).xlsx
AIRBLOWERAF00-014,AIRBLOWER AF00-014,,,76169990,KOREA,,,CONFIRMED,1,2025-12-30,2025-12-30,Invoice&packinglist_VN(251230).xlsx
AIRBLOWERAF00-015,AIRBLOWER AF00-015,,,76169990,KOREA,,,CONFIRMED,1,2025-12-30,2025-12-30,Invoice&packinglist_VN(251230).xlsx
AK10P5_YJ,AK10P5_YJ,,"Gối đỡ trục vít me, mã hàng: AK10P5_YJ, chất liệu: thép, hsx: Misumi, hàng mới 100%",84833090,JAPAN,,,CONFIRMED,6,2025-12-09,2026-04-20,Invoice&packinglist_VN(260420).xlsx
ALT-E16RS-24V,ALT-E16RS-24V,,"Bộ điều khiển ánh sáng của máy kiểm tra, mã hàng: ALT-E16RS-24V, điện áp 24V, công suất 600W, hsx: ALT, hàng mới 100%",85371099,JAPAN,,,CONFIRMED,13,2025-11-30,2026-04-20,Invoice&packinglist_VN(260420).xlsx
AM4113ZT,AM4113ZT,DIGITAL MICROSCOPE,"DIGITAL MICROSCOPE#&Kính hiển vi kĩ thuật số cầm tay, mã hàng: AM4113ZT, độ phân giải: 1280x1024 pixel, hiệu: Dino-Lite, hàng mới 100%",90121000,TAIWAN,,,CONFIRMED,1,2026-04-02,2026-04-02,Invoice&packinglist_VN(260402).xlsx
AN-016,AN-016,RUBBER SEAL,"RUBBER SEAL#&Gioăng cao su, mã hàng: AN-016, chất liệu: cao su lưu hóa không xốp (không phải là cao su cứng). Hàng mới 100%",40169390,KOREA,,,CONFIRMED,3,2025-12-09,2026-03-11,Invoice&packinglist_VN(260311).xlsx
AN-019,AN-019,RUBBER SEAL,"RUBBER SEAL#&Gioăng cao su, mã hàng: AN-019, chất liệu: cao su lưu hóa không xốp (không phải là cao su cứng). Hàng mới 100%",40169390,KOREA,,,CONFIRMED,3,2025-12-09,2026-03-11,Invoice&packinglist_VN(260311).xlsx
AN10-01,AN10-01,,"Giảm âm, mã hàng: AN10-01, chất liệu: thép, hsx: SMC, hàng mới 100%",73269099,JAPAN,,,CONFIRMED,7,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
AN101-01,AN101-01,,"Giảm âm, mã hàng: AN101-01, chất liệu: thép, hsx: SMC, hàng mới 100%",73269099,JAPAN,,,CONFIRMED,3,2026-04-02,2026-04-20,Invoice&packinglist_VN(260420).xlsx
AN15-02,AN15-02,,"Giảm âm, mã hàng: AN15-02, chất liệu: nhựa, hsx: SMC, hàng mới 100%",39269099,JAPAN,,,CONFIRMED,4,2025-12-12,2026-04-02,Invoice&packinglist_VN(260402).xlsx
AN20-02,AN20-02,,"Giảm âm, mã hàng: AN20-02, chất liệu chủ yếu: nhựa, hsx: SMC, hàng mới 100%",39269099,JAPAN,,,CONFIRMED,3,2025-11-30,2026-04-02,Invoice&packinglist_VN(260402).xlsx
AN20-C10,AN20-C10,PLASTIC SILENCER,"PLASTIC SILENCER#&Giảm âm, mã hàng: AN20-C10, chất liệu: nhựa, hsx: SMC, hàng mới 100%",39269099,JAPAN,,,CONFIRMED,2,2025-11-30,2025-11-30,Invoice&packinglist_VN(251130-2).xlsx
AN30-03,AN30-03,,"Giảm âm, mã hàng: AN30-03, chất liệu bằng nhựa, đường kính 30 mm, hsx: SMC, hàng mới 100%",39269099,JAPAN,,,CONFIRMED,6,2025-12-09,2026-04-02,Invoice&packinglist_VN(260402).xlsx
