표,컬럼,현재MAX,다음발급번호,판정,비고
activities,id,9,10,정상,
as_status_history,id,0,1,정상,
as_tickets,id,0,1,정상,
audit_attachments,id,0,1,정상,
bills_of_lading,id,0,1,정상,
board_comments,id,0,1,정상,
board_posts,id,0,1,정상,
boards,id,15,16,정상,
bom_item_history,id,0,1,정상,
bom_items,id,0,1,정상,
bom_uploads,id,0,1,정상,
change_impacts,id,0,1,정상,
change_reads,id,0,1,정상,
changes,id,0,1,정상,
comment_mentions,id,0,1,정상,
commercial_invoices,id,0,1,정상,
consumable_history,id,3955,3956,정상,
consumable_order_items,id,823,824,정상,
consumable_orders,id,193,194,정상,
corrective_actions,id,0,1,정상,
cost_simulations,id,0,1,정상,
customer_contacts,id,282,283,정상,
customer_history,id,10,11,정상,
customers,id,76,77,정상,
customs_declarations,id,0,1,정상,
delegation_audit,id,0,1,정상,
delegation_tokens,id,0,1,정상,
dept_schedule_log,id,2,3,정상,
exchange_rates,id,39,40,정상,
export_doc_meta,project_id,0,1,정상,
export_hs_dict,id,2099,2100,정상,
export_orders,id,0,1,정상,
fta_certificate_items,id,0,1,정상,
fta_certificates,id,0,1,정상,
ic_invoice_pairs,id,0,1,정상,
invoices,id,0,1,정상,
issue_logs,id,0,1,정상,
issues,id,0,1,정상,
issues_out,id,0,1,정상,
mail_attachments,id,0,1,정상,
mail_blocklist,id,0,1,정상,
mail_fetch_accounts,id,0,1,정상,
mail_large_files,id,0,1,정상,
mail_messages,id,0,1,정상,
mail_rules,id,0,1,정상,
mail_signatures,user_id,0,1,정상,
material_request_items,id,0,1,정상,
material_requests,id,0,1,정상,
meeting_actions,id,0,1,정상,
meeting_attendees,id,0,1,정상,
meeting_decisions,id,0,1,정상,
meetings,id,12,13,정상,
notifications,id,2633,2634,정상,
notify_blocks,id,6,7,정상,
opp_dept_requests,id,0,1,정상,
opp_request_activities,id,0,1,정상,
opp_request_members,id,0,1,정상,
order_items,id,7960,7961,정상,
order_status_history,id,3896,3897,정상,
orders,id,2612,2613,정상,
packing_items,id,0,1,정상,
packing_lists,id,0,1,정상,
part_aliases,id,24,25,정상,
part_attachments,id,0,1,정상,
part_dedup_dismissals,id,1,2,정상,
part_merge_log,id,24,25,정상,
part_prices,id,0,1,정상,
parts,id,3218,3219,정상,
payment_terms,id,0,1,정상,
permission_groups,id,0,1,정상,
permissions,id,0,1,정상,
po_item_project_links,id,0,1,정상,
po_items,id,3,4,정상,
preventive_actions,id,0,1,정상,
price_change_history,id,0,1,정상,
prod_request_images,id,1,2,정상,
prod_requests,id,11,12,정상,
production_orders,id,0,1,정상,
project_burndown_snapshots,id,0,1,정상,
project_forecasts,id,0,1,정상,
project_history,id,17321,17322,정상,
project_items,id,7943,7944,정상,
project_milestones,id,0,1,정상,
project_phases,id,0,1,정상,
project_retros,id,0,1,정상,
project_stage_log,id,84,85,정상,
project_workflow,id,0,1,정상,
project_workflow_edges,id,0,1,정상,
project_workflow_node_checkpoints,id,0,1,정상,
project_workflow_nodes,id,0,1,정상,
projects,id,1051,1052,정상,
purchase_orders,id,2,3,정상,
qc_disposition,id,0,1,정상,
qc_inspection_items,id,0,1,정상,
qc_inspection_reports,id,0,1,정상,
qc_inspections,id,0,1,정상,
qms_audit_log,id,0,1,정상,
quotation_history,id,0,1,정상,
quotation_items,id,0,1,정상,
quotations,id,0,1,정상,
rate_alerts,id,0,1,정상,
receipts,id,0,1,정상,
receipts_payment,id,0,1,정상,
rnd_logs,id,0,1,정상,
rnd_projects,id,0,1,정상,
sales_opportunities,id,7,8,정상,
sales_opportunity_files,id,0,1,정상,
schedule_board_day_memos,id,0,1,정상,
schedule_board_memos,id,4,5,정상,
shared_contacts,id,1572,1573,정상,
shipments,id,0,1,정상,
stock_adjustments,id,0,1,정상,
stock_audit_items,id,0,1,정상,
stock_audits,id,0,1,정상,
stock_movements,id,0,1,정상,
suppliers,id,172,173,정상,
task_comments,id,0,1,정상,
task_delegations,id,0,1,정상,
task_reactions,id,0,1,정상,
tasks,id,2,3,정상,
tax_invoice_lines,id,0,1,정상,
tax_invoices,id,0,1,정상,
team_history,id,0,1,정상,
team_summaries,id,0,1,정상,
teams,id,26,27,정상,
ticket_comments,id,0,1,정상,
tickets,id,0,1,정상,
user_history,id,5,6,정상,
user_mail_creds,user_id,0,1,정상,
user_view_prefs,id,624,625,정상,
users,id,378,379,정상,
work_order,id,0,1,정상,
work_order_items,id,0,1,정상,
work_orders,id,0,1,정상,
workflow_handoffs,id,0,1,정상,
workflow_template_nodes,id,196320,196321,정상,
workflow_templates,id,5,6,정상,
