표,컬럼수,기본키,기본키종류,FK(원본),FK(PG실제),CHECK(원본),CHECK(PG실제),인덱스(원본),인덱스(PG실제)
activities,10,id,단일,4,4,0,0,4,5
app_settings,5,key,단일,1,1,0,0,0,0
as_status_history,7,id,단일,2,2,0,0,1,2
as_tickets,25,id,단일,3,3,1,1,4,4
audit_attachments,6,id,단일,2,2,0,0,1,2
bills_of_lading,10,id,단일,1,1,1,1,3,3
board_comments,5,id,단일,2,2,0,0,1,2
board_posts,14,id,단일,3,3,0,0,3,4
boards,5,id,단일,1,1,0,0,1,1
bom_item_history,12,id,단일,0,0,0,0,2,3
bom_items,30,id,단일,2,2,0,0,3,4
bom_uploads,14,id,단일,2,2,0,0,1,2
catalog_favorites,3,"user_id,part_id",복합,0,0,0,0,1,2
change_impacts,7,id,단일,3,3,0,0,2,3
change_reads,6,id,단일,2,2,0,0,3,3
changes,23,id,단일,2,2,0,0,6,6
comment_mentions,3,id,단일,2,2,0,0,1,1
commercial_invoices,9,id,단일,2,2,1,1,3,3
consumable_history,11,id,단일,0,0,0,0,1,2
consumable_order_items,18,id,단일,3,3,0,0,3,4
consumable_orders,43,id,단일,2,2,0,0,5,6
corrective_actions,15,id,단일,5,5,1,1,3,4
cost_simulations,12,id,단일,2,2,0,0,2,3
countries_master,7,code,단일,0,0,0,0,0,0
customer_contacts,12,id,단일,1,1,0,0,2,3
customer_history,8,id,단일,0,0,0,0,1,2
customers,25,id,단일,0,0,0,0,2,3
customs_declarations,9,id,단일,1,1,1,1,3,3
delegation_audit,6,id,단일,2,2,0,0,2,3
delegation_tokens,8,id,단일,3,3,0,0,2,3
dept_schedule_log,14,id,단일,0,0,0,0,2,3
exchange_rates,9,id,단일,1,1,0,0,3,3
export_boxes,6,"project_id,box_no",복합,0,0,0,0,0,1
export_doc_meta,16,project_id,단일,0,0,0,0,0,1
export_hs_dict,19,id,단일,0,0,0,0,1,1
export_orders,10,id,단일,2,2,1,1,2,3
field_access_policy,2,"category,team_id",복합,0,0,0,0,0,1
fta_certificate_items,11,id,단일,2,2,0,0,2,3
fta_certificates,20,id,단일,4,4,1,1,4,4
group_permissions,2,"group_id,permission_id",복합,2,2,0,0,0,1
ic_invoice_pairs,16,id,단일,0,0,0,0,3,3
invoices,11,id,단일,3,3,1,1,3,3
issue_logs,8,id,단일,2,2,0,0,1,2
issues,30,id,단일,6,5,0,0,7,7
issues_out,9,id,단일,3,3,0,0,2,3
mail_aliases,3,address,단일,1,1,0,0,0,0
mail_attachments,10,id,단일,1,1,0,0,1,2
mail_blocklist,6,id,단일,0,0,0,0,1,1
mail_fetch_accounts,15,id,단일,0,0,0,0,1,1
mail_fetch_seen,3,"account_id,uidl",복합,0,0,0,0,0,1
mail_large_files,10,id,단일,1,1,0,0,2,2
mail_messages,27,id,단일,1,1,0,0,3,4
mail_rules,7,id,단일,0,0,0,0,0,1
mail_signatures,3,user_id,단일,1,1,0,0,0,1
material_request_items,20,id,단일,0,0,0,0,2,3
material_requests,13,id,단일,0,0,0,0,2,3
meeting_actions,10,id,단일,3,3,0,0,1,2
meeting_attendees,5,id,단일,2,2,0,0,1,2
meeting_decisions,7,id,단일,1,1,0,0,1,2
meetings,18,id,단일,2,2,0,0,5,6
notifications,15,id,단일,3,3,0,0,3,4
notify_blocks,8,id,단일,0,0,0,0,0,1
opp_dept_requests,13,id,단일,0,0,0,0,3,4
opp_request_activities,8,id,단일,0,0,0,0,2,3
opp_request_members,6,id,단일,0,0,0,0,2,3
order_items,54,id,단일,2,2,0,0,2,3
order_status_history,7,id,단일,2,2,0,0,2,3
orders,36,id,단일,4,4,1,1,5,5
packing_items,7,id,단일,2,2,0,0,2,3
packing_lists,7,id,단일,1,1,0,0,2,2
part_aliases,8,id,단일,0,0,0,0,2,3
part_attachments,9,id,단일,2,2,0,0,1,2
part_dedup_dismissals,4,id,단일,0,0,0,0,1,1
part_merge_log,16,id,단일,0,0,0,0,1,2
part_prices,16,id,단일,4,4,0,0,4,5
parts,32,id,단일,0,0,0,0,5,5
payment_terms,4,id,단일,1,1,0,0,1,2
permission_groups,4,id,단일,0,0,0,0,1,1
permissions,7,id,단일,0,0,0,0,2,2
po_item_project_links,8,id,단일,3,3,0,0,2,3
po_items,14,id,단일,2,2,0,0,2,3
preventive_actions,12,id,단일,4,4,0,0,2,3
price_change_history,10,id,단일,3,3,0,0,3,4
prod_request_images,9,id,단일,0,0,0,0,1,2
prod_requests,19,id,단일,0,0,0,0,2,3
production_orders,8,id,단일,1,1,1,1,2,3
project_burndown_snapshots,7,id,단일,1,1,0,0,3,3
project_forecasts,9,id,단일,1,1,0,0,2,2
project_history,8,id,단일,0,0,0,0,1,2
project_items,21,id,단일,3,1,0,0,2,3
project_milestones,7,id,단일,1,1,1,1,2,3
project_phases,15,id,단일,4,4,0,0,4,4
project_retros,9,id,단일,2,2,0,0,1,2
project_stage_log,16,id,단일,0,0,0,0,1,1
project_workflow,23,id,단일,2,1,0,0,1,2
project_workflow_edges,5,id,단일,3,3,0,0,0,1
project_workflow_node_checkpoints,7,id,단일,1,1,0,0,1,2
project_workflow_nodes,11,id,단일,2,1,0,0,2,3
projects,60,id,단일,3,3,0,0,4,4
purchase_orders,17,id,단일,3,3,0,0,5,5
qc_disposition,6,id,단일,2,2,0,0,1,2
qc_inspection_items,8,id,단일,1,1,1,1,1,2
qc_inspection_reports,21,id,단일,6,6,2,2,4,4
qc_inspections,9,id,단일,3,3,0,0,2,3
qms_audit_log,6,id,단일,2,2,0,0,2,3
quotation_history,8,id,단일,0,0,0,0,1,2
quotation_items,11,id,단일,2,2,0,0,2,3
quotations,9,id,단일,2,2,1,1,3,3
rate_alerts,8,id,단일,1,1,1,1,2,3
receipts,8,id,단일,2,2,0,0,2,3
receipts_payment,9,id,단일,2,2,0,0,1,2
