표,SQLite,PostgreSQL,판정
activities,9,9,일치
app_settings,39,39,일치
as_status_history,0,0,일치
as_tickets,0,0,일치
audit_attachments,0,0,일치
bills_of_lading,0,0,일치
board_comments,0,0,일치
board_posts,0,0,일치
boards,15,15,일치
bom_item_history,0,0,일치
bom_items,0,0,일치
bom_uploads,0,0,일치
catalog_favorites,0,0,일치
change_impacts,0,0,일치
change_reads,0,0,일치
changes,0,0,일치
comment_mentions,0,0,일치
commercial_invoices,0,0,일치
consumable_history,3955,3955,일치
consumable_order_items,613,613,일치
consumable_orders,149,149,일치
corrective_actions,0,0,일치
cost_simulations,0,0,일치
countries_master,13,13,일치
customer_contacts,183,183,일치
customer_history,10,10,일치
customers,75,75,일치
customs_declarations,0,0,일치
delegation_audit,0,0,일치
delegation_tokens,0,0,일치
dept_schedule_log,1,1,일치
exchange_rates,39,39,일치
export_boxes,0,0,일치
export_doc_meta,0,0,일치
export_hs_dict,2084,2084,일치
export_orders,0,0,일치
field_access_policy,13,13,일치
fta_certificate_items,0,0,일치
fta_certificates,0,0,일치
group_permissions,0,0,일치
ic_invoice_pairs,0,0,일치
invoices,0,0,일치
issue_logs,0,0,일치
issues,0,0,일치
issues_out,0,0,일치
mail_aliases,0,0,일치
mail_attachments,0,0,일치
mail_blocklist,0,0,일치
mail_fetch_accounts,0,0,일치
mail_fetch_seen,0,0,일치
mail_large_files,0,0,일치
mail_messages,0,0,일치
mail_rules,0,0,일치
mail_signatures,0,0,일치
material_request_items,0,0,일치
material_requests,0,0,일치
meeting_actions,0,0,일치
meeting_attendees,0,0,일치
meeting_decisions,0,0,일치
meetings,2,2,일치
notifications,2242,2242,일치
notify_blocks,2,2,일치
opp_dept_requests,0,0,일치
opp_request_activities,0,0,일치
opp_request_members,0,0,일치
order_items,1821,1821,일치
order_status_history,1909,1909,일치
orders,673,673,일치
packing_items,0,0,일치
packing_lists,0,0,일치
part_aliases,24,24,일치
part_attachments,0,0,일치
part_dedup_dismissals,1,1,일치
part_merge_log,24,24,일치
part_prices,0,0,일치
parts,3194,3194,일치
payment_terms,0,0,일치
permission_groups,0,0,일치
permissions,0,0,일치
po_item_project_links,0,0,일치
po_items,2,2,일치
preventive_actions,0,0,일치
price_change_history,0,0,일치
prod_request_images,1,1,일치
prod_requests,7,7,일치
production_orders,0,0,일치
project_burndown_snapshots,0,0,일치
project_forecasts,0,0,일치
project_history,4845,4845,일치
project_items,708,708,일치
project_milestones,0,0,일치
project_phases,0,0,일치
project_retros,0,0,일치
project_stage_log,30,30,일치
project_workflow,0,0,일치
project_workflow_edges,0,0,일치
project_workflow_node_checkpoints,0,0,일치
project_workflow_nodes,0,0,일치
projects,286,286,일치
purchase_orders,1,1,일치
qc_disposition,0,0,일치
qc_inspection_items,0,0,일치
qc_inspection_reports,0,0,일치
qc_inspections,0,0,일치
qms_audit_log,0,0,일치
quotation_history,0,0,일치
quotation_items,0,0,일치
quotations,0,0,일치
rate_alerts,0,0,일치
receipts,0,0,일치
receipts_payment,0,0,일치
retired_mgmt_codes,3,3,일치
rnd_logs,0,0,일치
rnd_projects,0,0,일치
sales_opportunities,2,2,일치
sales_opportunity_files,0,0,일치
schedule_board_day_memos,0,0,일치
schedule_board_memos,3,3,일치
shared_contacts,1572,1572,일치
shipments,0,0,일치
stage_notify_log,1,1,일치
stock_adjustments,0,0,일치
stock_audit_items,0,0,일치
stock_audits,0,0,일치
stock_movements,0,0,일치
suppliers,172,172,일치
task_comments,0,0,일치
task_delegations,0,0,일치
task_reactions,0,0,일치
tasks,2,2,일치
tax_invoice_lines,0,0,일치
tax_invoices,0,0,일치
team_history,0,0,일치
team_summaries,0,0,일치
teams,26,26,일치
ticket_comments,0,0,일치
tickets,0,0,일치
user_groups,0,0,일치
user_history,5,5,일치
user_mail_creds,0,0,일치
user_view_prefs,10,10,일치
users,144,144,일치
work_order,0,0,일치
work_order_items,0,0,일치
work_orders,0,0,일치
workflow_handoffs,0,0,일치
workflow_nodes_master,77,77,일치
workflow_template_nodes,160,160,일치
workflow_templates,5,5,일치
