표,컬럼,분류,SQLite합계,PG합계,차이,판정
consumable_order_items,qty,수량,27627.0,27627,0.0,일치
consumable_order_items,unit_price,금액,120640408.1199999999999691,120640408.1199999999999691,0E-16,일치
consumable_order_items,amount,금액,285213502.71,285213502.71,0.00,일치
consumable_orders,total_amount,금액,285213502.7099999999992,285213502.7099999999992,0E-13,일치
consumable_orders,tax_invoice_amt1,금액,256098781.82,256098781.82,0.00,일치
order_items,qty,수량,11092.0,11092,0.0,일치
order_items,unit_price,금액,25079294061.9355,25079294061.9355,0.0000,일치
order_items,amount,금액,25211413297.1300000000016,25211413297.1300000000016,0E-13,일치
order_items,allocated_qty,수량,0.0,0,0.0,일치
order_items,invoice_unit_price_usd,금액,73198.22,73198.22,0.00,일치
order_items,invoice_amount_usd,금액,283140.84,283140.84,0.00,일치
order_items,cost_price,금액,51963.1105,51963.1105,0.0000,일치
order_items,tax_invoice_amt1,금액,9755941247.79,9755941247.79,0.00,일치
order_items,tax_invoice_amt2,금액,7612654904.0,7612654904.0,0.0,일치
order_items,tax_invoice_amt3,금액,24603204.5,24603204.5,0.0,일치
order_items,cost_krw,금액,76174678.095830833694,76174678.095830833694,0E-12,일치
order_items,sell_krw,금액,107163307.0,107163307.0,0.0,일치
orders,total_amount,금액,29351713297.1299999990576,29351713297.1299999990576,0E-13,일치
orders,unit_qty,수량,1330,1330,0,일치
parts,std_price,금액,354364379.00,354364379.00,0.00,일치
parts,stock_qty,수량,0.0,0,0.0,일치
parts,reorder_qty,수량,0.0,0,0.0,일치
po_items,quantity,수량,2.0,2,0.0,일치
po_items,unit_price,금액,0.0,0.0,0.0,일치
po_items,amount,금액,0.0,0.0,0.0,일치
po_items,received_qty,수량,0.0,0,0.0,일치
project_items,qty,수량,1461,1461,0,일치
project_items,unit_price,금액,18956291621250540087.44000000,18956291621250540087.4400000000008,8E-13,원본정밀도한계(1건 · 2^53 초과)
project_items,amount,금액,18956293217602184539.87000000,18956293217602184539.8699999990066,-9.934E-10,원본정밀도한계(1건 · 2^53 초과)
projects,order_amount,금액,24020884902.05000000306,24020884902.05000000306,0E-11,일치
projects,unit_qty,수량,477,477,0,일치
projects,unit_price,금액,4246637155.4,4246637155.4,0.0,일치
projects,amount_krw,금액,174793810.0,174793810.0,0.0,일치
projects,expected_amount,금액,21750478638.299999999,21750478638.299999999,0E-9,일치
purchase_orders,total_amount,금액,0.0,0.0,0.0,일치
sales_opportunities,expected_amount,금액,50000000.0,50000000.0,0.0,일치
