표,컬럼,SQLite선언,PostgreSQL,분류,근거규정
activities,id,INTEGER,bigint identity,기본키(자동증가),-
activities,actor_id,INTEGER,bigint,정수,-
activities,kind,TEXT,text,글자,-
activities,task_id,INTEGER,bigint,정수,-
activities,project_id,INTEGER,bigint,정수,-
activities,team_id,INTEGER,bigint,정수,-
activities,title,TEXT,text,글자,-
activities,body,TEXT,text,글자,-
activities,meta,TEXT,text,글자,-
activities,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
app_settings,key,TEXT,text,글자,-
app_settings,value,TEXT,text,글자,-
app_settings,description,TEXT,text,글자,-
app_settings,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
app_settings,updated_by,INTEGER,bigint,정수,-
as_status_history,id,INTEGER,bigint identity,기본키(자동증가),-
as_status_history,as_id,INTEGER,bigint,정수,-
as_status_history,from_status,TEXT,text,글자,-
as_status_history,to_status,TEXT,text,글자,-
as_status_history,changed_by,INTEGER,bigint,정수,-
as_status_history,note,TEXT,text,글자,-
as_status_history,changed_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
as_tickets,id,INTEGER,bigint identity,기본키(자동증가),-
as_tickets,as_no,TEXT,text,글자,-
as_tickets,received_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
as_tickets,biz_div,TEXT,text,글자,-
as_tickets,customer_id,INTEGER,bigint,정수,-
as_tickets,customer_name,TEXT,text,글자,-
as_tickets,customer_phone,TEXT,text,글자,-
as_tickets,customer_address,TEXT,text,글자,-
as_tickets,product_id,INTEGER,bigint,정수,-
as_tickets,product_name,TEXT,text,글자,-
as_tickets,model_name,TEXT,text,글자,-
as_tickets,purchase_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
as_tickets,symptom,TEXT,text,글자,-
as_tickets,inbound_tracking,TEXT,text,글자,-
as_tickets,outbound_tracking,TEXT,text,글자,-
as_tickets,shipped_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
as_tickets,is_paid,INTEGER,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
as_tickets,repair_fee,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
as_tickets,repair_note,TEXT,text,글자,-
as_tickets,status,TEXT,text,글자,-
as_tickets,assignee_id,INTEGER,bigint,정수,-
as_tickets,note,TEXT,text,글자,-
as_tickets,created_by,INTEGER,bigint,정수,-
as_tickets,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
as_tickets,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
audit_attachments,id,INTEGER,bigint identity,기본키(자동증가),-
