납기일,관리번호,프로젝트명,고객사,수주번호,발주일,수주상태,호기수,호기상태,금액,시스템자동변경시각
2026-09-03,018T2604,PBA,주식회사 두성테크,T-260812-6,2026-08-12,SHIPPED,1,출하,4435000,2026-08-17 06:32:02
2026-09-03,019T2604,PBA,주식회사 두성테크,T-260812-7,2026-08-12,SHIPPED,1,출하,6135000,2026-08-17 06:32:02
2026-09-03,020T2604,PBA,주식회사 두성테크,T-260812-8,2026-08-12,SHIPPED,1,출하,3495000,2026-08-17 06:32:02
2026-09-04,005T2606,PBA,(주) 드림텍,T-260827-7,2026-08-27,SHIPPED,1,출하,684000,2026-08-30 17:57:06
2026-09-04,006T2606,PBA,(주) 드림텍,T-260827-9,2026-08-27,SHIPPED,1,출하,123000,2026-08-30 17:57:06
2026-09-04,013T2606,PBA,(주) 드림텍,T-260827-5,2026-08-27,SHIPPED,4,출하,950000,2026-08-30 17:57:06
2026-09-04,013T2606,PBA,(주) 드림텍,T-260827-6,2026-08-27,SHIPPED,1,출하,1539000,2026-08-30 17:57:06
2026-09-04,014T2607,PBA,(주) 드림텍,T-260827-8,2026-08-27,SHIPPED,1,출하,684000,2026-08-30 17:57:06
2026-09-07,001M2607,DWMT4400 자동화 설비,KNK VINA,M-260707-1,2026-07-07,SHIPPED,141,출하,81255,
2026-09-08,005T2606,PBA,(주) 드림텍,T-260820-2,2026-08-20,SHIPPED,2,출하,10980000,2026-08-30 17:57:06
2026-09-08,006T2606,PBA,(주) 드림텍,T-260820-4,2026-08-20,SHIPPED,1,출하,3320000,2026-08-30 17:57:06
2026-09-08,014T2607,PBA,(주) 드림텍,T-260820-3,2026-08-20,SHIPPED,2,진행중,6506000,2026-08-30 17:57:06
2026-09-10,004T2607,PBA,한국성전(주),T-260828-4,2026-08-28,SHIPPED,2,출하,540000,2026-08-30 17:57:06
2026-09-11,013T2606,PBA,(주) 드림텍,T-260827-2,2026-08-27,SHIPPED,2,출하,10980000,2026-08-30 17:57:06
2026-09-11,014T2606,PBA,(주) 드림텍,T-260827-4,2026-08-27,SHIPPED,1,진행중,3320000,2026-08-30 17:57:06
2026-09-11,016T2607,PBA,(주) 드림텍,T-260827-3,2026-08-27,SHIPPED,2,진행중,6506000,2026-08-30 17:57:06
2026-09-11,023T2606,SENSOR,(주)파트론,T-260825-2,2026-08-25,SHIPPED,4,출하,14000000,2026-08-26 13:02:07
2026-09-15,007T2606,PBA,(주) 드림텍,T-260828-1,2026-08-28,SHIPPED,2,진행중,10980000,2026-08-30 17:57:06
2026-09-15,008T2606,PBA,(주) 드림텍,T-260828-3,2026-08-28,SHIPPED,1,진행중,3320000,2026-08-30 17:57:06
2026-09-15,015T2603,PBA,드림텍(본사),T-260819-1,2026-08-19,SHIPPED,1,출하,4693000,2026-08-19 16:03:06
2026-09-15,015T2607,PBA,(주) 드림텍,T-260828-2,2026-08-28,SHIPPED,2,진행중,6506000,2026-08-30 17:57:06
2026-09-15,034T2603,PBA,드림텍(아산),T-260819-2,2026-08-19,SHIPPED,1,출하,3800000,2026-08-19 16:03:06
2026-09-15,035T2603,PBA,드림텍(본사),T-260819-3,2026-08-19,SHIPPED,1,출하,5560000,2026-08-19 16:03:06
