NO,관리코드,수주번호,고객사,모델,품명,PO유형,영업단계,진행상태,담당자,전체진척률(%),설계검토,3D/2D설계,BOM작성,가공발주,"제안서
완료일","설계
완료일","가공의뢰
입고일",상태,메모
1,008T2604,T-260407-3,드림텍,WATCH9 HRM,낙하 JIG,신규,수주확정,진행중,,,,,,,,,,,
2,005T2603,T-260303,드림텍,SM-F976 GND PCB,ARRAY 기능 검사기 (전용케이스),신규,수주확정,진행중,,,,,,,,,,,
3,005T2603,T-260303-2,드림텍,SM-F976 GND PCB,ARRAY 기능 검사기 (전용케이스),신규,수주확정,진행중,,,,,,,,,,,
4,005T2603,T-260318,드림텍,SM-F976 GND PCB,ARRAY 기능 검사기 (전용케이스) Modify,수정,수주확정,진행중,,,,,,,,,,,
5,005T2603,T-260409-2,드림텍,SM-F976 GND PCB,ARRAY 기능 검사기 (전용케이스) Modify,수정,수주확정,진행중,,,,,,,,,,,
6,003T2601,T-260409-3,드림텍,SM-F776U PROXIMITY,기능검사기 MODIFY,수정,수주확정,진행중,,,,,,,,,,,
7,015T2512,T-260410-2,드림텍,SM-A576B SUB,기능검사기(UK4S) MODIFY,수정,수주확정,진행중,,,,,,,,,,,
8,015T2512,T-260410-3,드림텍,SM-A576B SUB,기능검사기(UK4S) MODIFY,수정,수주확정,진행중,,,,,,,,,,,
9,013T2602,T-260403-6,한국성전,VMF0971-0125001,VSWR 검사기- CASE 재활용,추가,수주확정,진행중,,,,,,,,,,,
10,037T2604,T-260408-7,AMS,SOCKET,GROVE-C CS SOCKET-P1(S),기타,수주확정,진행중,,,,,,,,,,,
11,038T2604,T-260408-8,AMS,SOCKET,GROVE-C PCB(KNK-P-4627-1),기타,수주확정,진행중,,,,,,,,,,,
12,039T2604,T-260408-9,AMS,SOCKET,TMF8829 CS SOCKET-P1(S),기타,수주확정,진행중,,,,,,,,,,,
13,040T2604,T-260408-10,AMS,SOCKET,TMF8829 PCB(KNK-P-4220),기타,수주확정,진행중,,,,,,,,,,,
14,001T2604,T-260406-2,엠씨넥스,A27 5G MT,지문센서 검사기_모듈교체파트,신규,수주확정,진행중,,,,,,,,,,,
15,005T2604,T-260406-3,드림텍,SM-L345 ECG KEY,기능검사기(UK3S),신규,수주확정,진행중,,,,,,,,,,,
16,005T2604,T-260406-4,드림텍,SM-L345 ECG KEY,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
17,006T2604,T-260406-5,드림텍,SM-L715 MIC KEY,기능검사기(UK3S),신규,수주확정,진행중,,,,,,,,,,,
18,006T2604,T-260406-6,드림텍,SM-L715 MIC KEY,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
19,006T2604,T-260406-7,드림텍,SM-L715 MIC KEY,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
20,017T2601,T-260406-12,두성테크,WATCH9 HRM,PPG검사기_케이스 포함,추가,수주확정,진행중,,,,,,,,,,,
21,018T2601,T-260406-13,두성테크,WATCH9 HRM,ECG검사기_케이스 포함,추가,수주확정,진행중,,,,,,,,,,,
22,019T2601,T-260406-14,두성테크,WATCH9 HRM,AO2검사기_케이스 포함,추가,수주확정,진행중,,,,,,,,,,,
23,025T2601,T-260406-15,두성테크,WATCH9 HRM,EDA검사기_케이스 포함,추가,수주확정,진행중,,,,,,,,,,,
24,009T2602,T-260210,파인텍,COHP-7413-A00,SENSOR 타공 검사기,신규,수주확정,진행중,,,,,,,,,,,
25,026T2603,T-260327,에스제이아이티,NTP08TK-APS-00,ASSY 검사기,신규,수주확정,진행중,,,,,,,,,,,
26,027T2603,T-260327-2,에스제이아이티,NTP02TK-APS-30,ASSY 검사기,신규,수주확정,진행중,,,,,,,,,,,
27,028T2603,T-260327-3,에스제이아이티,NTP03TK-APS-00,ASSY 검사기,신규,수주확정,진행중,,,,,,,,,,,
28,029T2603,T-260327-4,에스제이아이티,NTP06TK-APS-70,ASSY 검사기,신규,수주확정,진행중,,,,,,,,,,,
29,030T2603,T-260327-5,에스제이아이티,NTP02TK-APS-00,ASSY 검사기,신규,수주확정,진행중,,,,,,,,,,,
30,031T2603,T-260327-6,에스제이아이티,NTP11TK-APS-00,ASSY 검사기,신규,수주확정,진행중,,,,,,,,,,,
31,027T2604,T-260327-7,에스제이아이티,공용제어부,"케이스 일체형, DS457 ZEBRA바코드",기타,수주확정,진행중,,,,,,,,,,,
32,010T2604,T-260409,파트론,B8,DOME 하중 검사기 JIG,기타,수주확정,진행중,,,,,,,,,,,
33,034T2603,T-260331-2,드림텍,STERI 700 AC B'D,검사지그(UK3S),신규,수주확정,진행중,,,,,,,,,,,
34,017T2602,T-260324-5,드림텍,SM-F971U MAIN LOWER HPCB,기능검사기 (UK4S),추가,수주확정,진행중,,,,,,,,,,,
35,023T2512,T-260401-4,드림텍,SM-L716 SUB,기능검사기(UK4S) MODIFY,수정,수주확정,진행중,,,,,,,,,,,
