시트,R,관리코드,가공팀_값
1_프로젝트등록,5,008T2604,
1_프로젝트등록,6,005T2603,
1_프로젝트등록,7,005T2603,
1_프로젝트등록,8,005T2603,
1_프로젝트등록,9,005T2603,
1_프로젝트등록,10,003T2601,
1_프로젝트등록,11,015T2512,
1_프로젝트등록,12,015T2512,
1_프로젝트등록,13,013T2602,
1_프로젝트등록,14,037T2604,
1_프로젝트등록,15,038T2604,
1_프로젝트등록,16,039T2604,
1_프로젝트등록,17,040T2604,
1_프로젝트등록,18,001T2604,
1_프로젝트등록,19,005T2604,
1_프로젝트등록,20,005T2604,
1_프로젝트등록,21,006T2604,
1_프로젝트등록,22,006T2604,
1_프로젝트등록,23,006T2604,
1_프로젝트등록,24,017T2601,
1_프로젝트등록,25,018T2601,
1_프로젝트등록,26,019T2601,
1_프로젝트등록,27,025T2601,
1_프로젝트등록,28,009T2602,
1_프로젝트등록,29,026T2603,
1_프로젝트등록,30,027T2603,
1_프로젝트등록,31,028T2603,
1_프로젝트등록,32,029T2603,
1_프로젝트등록,33,030T2603,
1_프로젝트등록,34,031T2603,
1_프로젝트등록,35,027T2604,
1_프로젝트등록,36,010T2604,
1_프로젝트등록,37,034T2603,
1_프로젝트등록,38,017T2602,
1_프로젝트등록,39,023T2512,
1_프로젝트등록,40,005T2601,
1_프로젝트등록,41,028T2601,
1_프로젝트등록,42,029T2601,
1_프로젝트등록,43,028T2601,
1_프로젝트등록,44,029T2601,
1_프로젝트등록,45,028T2601,
1_프로젝트등록,46,029T2601,
1_프로젝트등록,47,002T2604,
1_프로젝트등록,48,020T2601,
1_프로젝트등록,49,021T2601,
1_프로젝트등록,50,026T2601,
1_프로젝트등록,51,027T2601,
1_프로젝트등록,52,003T2604,
1_프로젝트등록,53,004T2604,
1_프로젝트등록,54,004T2604,
1_프로젝트등록,55,004T2604,
1_프로젝트등록,56,009T2604,
1_프로젝트등록,57,011T2604,
1_프로젝트등록,58,033T2604,
1_프로젝트등록,59,034T2604,
1_프로젝트등록,60,023T2602,
1_프로젝트등록,61,022T2603,
1_프로젝트등록,62,022T2603,
1_프로젝트등록,63,024T2603,
1_프로젝트등록,64,024T2603,
1_프로젝트등록,65,012T2604,
1_프로젝트등록,66,028T2601,
1_프로젝트등록,67,029T2601,
1_프로젝트등록,68,028T2601,
1_프로젝트등록,69,029T2601,
1_프로젝트등록,70,018T2602,
1_프로젝트등록,71,017T2602,
1_프로젝트등록,72,001T2601,
1_프로젝트등록,73,016T2602,
1_프로젝트등록,74,003T2601,
1_프로젝트등록,75,005T2603,
1_프로젝트등록,76,007T2604,
1_프로젝트등록,77,015T2604,
1_프로젝트등록,78,016T2604,
1_프로젝트등록,79,017T2604,
1_프로젝트등록,80,018T2604,
1_프로젝트등록,81,019T2604,
1_프로젝트등록,82,020T2604,
1_프로젝트등록,83,035T2603,
1_프로젝트등록,84,017T2603,
1_프로젝트등록,85,036T2604,
1_프로젝트등록,86,023T2603,
1_프로젝트등록,87,010T2601,
1_프로젝트등록,88,013T2604,
1_프로젝트등록,89,014T2604,
1_프로젝트등록,90,007T2511,
1_프로젝트등록,91,023T2604,
1_프로젝트등록,92,024T2604,
1_프로젝트등록,93,025T2604,
1_프로젝트등록,94,006T2601,
1_프로젝트등록,95,006T2601,
1_프로젝트등록,96,024T2601,
1_프로젝트등록,97,024T2601,
1_프로젝트등록,98,034T2511,
1_프로젝트등록,99,005T2601,
1_프로젝트등록,100,021T2604,
1_프로젝트등록,101,010T2602,
1_프로젝트등록,102,006T2512,
1_프로젝트등록,103,007T2512,
1_프로젝트등록,104,002T2604,
1_프로젝트등록,105,024T2602,
1_프로젝트등록,106,024T2602,
1_프로젝트등록,107,035T2604,
1_프로젝트등록,108,032T2603,
1_프로젝트등록,109,007T2512,
1_프로젝트등록,110,001T2605,
4_완료이력,5,026T2604,
4_완료이력,6,006T2603,
4_완료이력,7,006T2603,
4_완료이력,8,002T2511,
4_완료이력,9,034T2601,
4_완료이력,10,015T2603,
4_완료이력,11,028T2604,
4_완료이력,12,029T2604,
4_완료이력,13,026T2602,
4_완료이력,14,026T2602,
4_완료이력,15,030T2604,
4_완료이력,16,023T2512,
4_완료이력,17,005T2601,
4_완료이력,18,031T2604,
4_완료이력,19,032T2604,
4_완료이력,20,012T2602,
4_완료이력,21,005T2601,
4_완료이력,22,034T2511,
4_완료이력,23,023T2602,
4_완료이력,24,005T2602,
4_완료이력,25,017T2602,
4_완료이력,26,016T2602,
4_완료이력,27,031T2503,
4_완료이력,28,023T2512,
4_완료이력,29,011T2603,
4_완료이력,30,011T2603,
4_완료이력,31,022T2512,
4_완료이력,32,015T2601,
4_완료이력,33,014T2601,
4_완료이력,34,022T2512,
4_완료이력,35,015T2601,
4_완료이력,36,044T2509,
