시트,R,관리코드,가공팀_값
1_프로젝트등록,5,006M2510,제외
1_프로젝트등록,6,002M2509,제외
1_프로젝트등록,7,003M2602,제외
1_프로젝트등록,8,003M2602,제외
1_프로젝트등록,9,001M2604,제외
1_프로젝트등록,10,003M2602,제외
1_프로젝트등록,11,004M2602,제외
1_프로젝트등록,12,006M2602,제외
1_프로젝트등록,13,003M2602,제외
1_프로젝트등록,14,005M2602,제외
1_프로젝트등록,15,005M2602,제외
1_프로젝트등록,16,002M2508,제외
1_프로젝트등록,17,001M2603,제외
1_프로젝트등록,18,002M2603,제외
1_프로젝트등록,19,003M2603,제외
1_프로젝트등록,20,004M2603,제외
1_프로젝트등록,21,005M2603,제외
1_프로젝트등록,22,003M2509,제외
1_프로젝트등록,23,003M2509,제외
1_프로젝트등록,24,003M2509,제외
1_프로젝트등록,25,002M2602,제외
1_프로젝트등록,26,002M2602,제외
1_프로젝트등록,27,006M2507,제외
4_완료이력,5,003M2602,
4_완료이력,6,005M2511,
4_완료이력,7,006M2511,
4_완료이력,8,007M2511,
4_완료이력,9,008M2511,
4_완료이력,10,009M2511,
4_완료이력,11,010M2511,
